District,International,Domestic,Total
ALAPPUZHA,0,0,0
ERNAKULAM,505282,579032,1084314
IDUKKI,0,0,0
KANNUR,82742,42223,124965
KASARAGOD,0,0,0
KOLLAM,0,0,0
KOTTAYAM,0,0,0
KOZHIKODE,0,0,0
MALAPPURAM,263246,96157,359403
PALAKKAD,0,0,0
PATHANAMTHITTA,0,0,0
THIRUVANANTHAPURAM,238338,211413,449751
THRISSUR,0,0,0
WAYANAD,0,0,0
TOTAL,1089608,928825,2018433
